comparison,session_id,reference_frame,phase_label,x_a,y_a,x_b,y_b,pixel_distance,pct_image_diagonal,over_10px,over_25px,over_50px
inter_rater,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,3,backswing,1246.0,912.0,1290.0,976.0,77.6659513557904,3.5256116286047985,1,1,1
inter_rater,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,26,backswing,638.0,147.0,679.0,116.0,51.40038910358559,2.3332980073629392,1,1,1
inter_rater,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,36,downswing,777.0,303.0,901.0,250.0,134.8517704741024,6.1215366814147005,1,1,1
inter_rater,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,43,impact_region,741.0,672.0,712.0,655.0,33.61547262794322,1.5259595630934997,1,1,0
inter_rater,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,45,impact_region,1204.0,960.0,1246.0,845.0,122.42957159118053,5.557636438516231,1,1,1
inter_rater,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,50,follow_through,501.0,21.0,542.0,14.0,41.593268686170845,1.8881080987455754,1,1,0
inter_rater,82b83897-42aa-447f-82ea-5e471706e7c5,3,backswing,904.0,1509.0,933.0,1476.0,43.93176527297759,1.9942631205533887,1,1,0
inter_rater,82b83897-42aa-447f-82ea-5e471706e7c5,27,backswing,45.0,61.0,0.0,24.0,58.25804665451803,2.6445983492051357,1,1,1
inter_rater,82b83897-42aa-447f-82ea-5e471706e7c5,41,downswing,293.0,323.0,125.0,254.0,181.61773041198373,8.244456819539911,1,1,1
inter_rater,82b83897-42aa-447f-82ea-5e471706e7c5,50,impact_region,672.0,1288.0,647.0,1282.0,25.709920264364882,1.167090498116831,1,1,0
inter_rater,82b83897-42aa-447f-82ea-5e471706e7c5,53,impact_region,816.0,1339.0,996.0,1423.0,198.63534428696218,9.016963900459835,1,1,1
inter_rater,82b83897-42aa-447f-82ea-5e471706e7c5,57,follow_through,208.0,445.0,281.0,413.0,79.7057087039567,3.618205514351246,1,1,1
inter_rater,dfd57aa0-581d-4580-bc43-2a329277309b,58,backswing,587.0,1092.0,593.0,1046.0,46.389654018972806,3.1587568452037678,1,1,0
inter_rater,dfd57aa0-581d-4580-bc43-2a329277309b,110,backswing,233.0,533.0,204.0,468.0,71.17583859709698,4.846493730902736,1,1,1
inter_rater,dfd57aa0-581d-4580-bc43-2a329277309b,154,downswing,219.0,306.0,267.0,426.0,129.24395537122808,8.800458579904639,1,1,1
