scenario,metric,n,median_abs_symmetric_pct_change,median_abs_change_ci_lower,median_abs_change_ci_upper,mean_abs_symmetric_pct_change,p95_abs_symmetric_pct_change,rank_stability_spearman,rank_stability_ci_lower,rank_stability_ci_upper,response_class
scale_minus_5pct,backswing_peak_speed,68,5.128205128205133,5.1282051282051295,5.128205128205138,5.128205128205132,5.1282051282051535,0.9999999999999998,0.9999999999999998,1.0,low
scale_plus_10pct,max_speed,71,9.523809523809529,9.523809523809524,9.523809523809536,9.523809523809527,9.523809523809565,1.0,0.9999999999999998,1.0,low
scale_plus_10pct,max_ang_vel,68,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998,1.0,low
scale_plus_10pct,max_accel,71,9.523809523809534,9.523809523809524,9.523809523809543,9.523809523809541,9.523809523809602,1.0,0.9999999999999998,1.0,low
scale_plus_10pct,swing_tempo,68,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,1.0,low
scale_plus_10pct,smoothness_index,71,1.3955145948941714,1.3092362662803796,1.5245756310122962,1.4809886295953232,2.0220849566548393,1.0,0.9999999999999998,1.0,low
scale_plus_10pct,path_efficiency,71,1.1733738343059921e-13,7.413115779956352e-14,1.612767568783492e-13,2.1725903887078332e-13,6.292664430198178e-13,0.9999999999999998,0.9999999999999998,1.0,low
scale_plus_10pct,curvature_rms,68,9.523809523809186,9.523809523804928,9.523809523816789,9.523809516461517,9.523809524050817,0.9999999999999998,0.9999999999999998,1.0,low
scale_plus_10pct,backswing_peak_speed,68,9.52380952380953,9.523809523809527,9.523809523809536,9.52380952380953,9.523809523809554,0.9999999999999998,0.9999999999999998,1.0,low
scale_plus_5pct,max_speed,71,4.8780487804878065,4.8780487804878,4.8780487804878145,4.8780487804878065,4.8780487804878465,1.0,0.9999999999999998,1.0,low
scale_plus_5pct,max_ang_vel,68,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998,1.0,low
scale_plus_5pct,max_accel,71,4.878048780487812,4.878048780487801,4.878048780487821,4.8780487804878145,4.878048780487903,1.0,0.9999999999999998,1.0,low
scale_plus_5pct,swing_tempo,68,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,1.0,low
scale_plus_5pct,smoothness_index,71,0.7168181110747744,0.6723584488196747,0.7833590014906053,0.7610204632462819,1.0402587264732772,1.0,0.9999999999999998,1.0,low
scale_plus_5pct,path_efficiency,71,7.413115779956352e-14,5.3338871447489854e-14,1.0800986896637245e-13,1.8784658563951392e-13,7.657644228084953e-13,0.9999999999999998,0.9999999999999998,1.0,low
scale_plus_5pct,curvature_rms,68,4.878048780485869,4.878048780470812,4.8780487804915715,4.878048774115772,4.878048780882102,0.9999999999999998,0.9999999999999998,1.0,low
scale_plus_5pct,backswing_peak_speed,68,4.8780487804878065,4.8780487804878,4.878048780487811,4.878048780487806,4.8780487804878305,0.9999999999999998,0.9999999999999998,1.0,low
